Blog	conversation	report	community	thought	took	tech	since	including	him	major	american	yes	weinstein	real	continue	year	minutes	head	together	myself	never	means	words	us	me	espn	policy	no	reality	did	live	russian	entire	oh	truth	original	deal	star	sex	public	key	clear	meet	love	official	recently	stop	days	true	don	friends	twitter	started	big	making	help	site	tv	coming	according	saw	same	web	hope	worked	times	quickly	important	wasn	learning	name	her	happened	company	jemele	way	add	read	care	human	won	ads	most	open	black	rather	someone	drive	m	three	especially	update	lives	stuff	simple	nice	building	while	browser	content	lot	didn	later	store	less	campaign	business	d	couple	steve	friday	photos	obama	away	again	save	x	saying	instead	state	into	next	wrote	than	computer	america	cool	trailer	likely	something	during	following	works	course	p	remember	much	available	players	high	done	private	around	work	ago	back	use	project	video	mr	harvey	music	future	best	stories	attention	comes	build	room	answer	bad	include	k	blog	check	rule	election	national	interview	car	may	online	must	ideas	trying	million	itself	start	happens	went	health	seems	top	its	youtube	very	wrong	las	john	taken	living	early	b	san	gave	see	per	anyone	told	results	women	power	keep	mind	level	successful	exactly	news	spend	stand	search	art	war	com	doesn	director	interesting	bit	press	paper	right	watch	doing	weeks	announced	u	posts	everything	need	please	short	down	version	playing	administration	feature	over	hour	fact	even	face	free	morning	turn	day	make	left	each	group	personal	follow	wanted	still	second	donald	across	looks	question	writing	gets	home	take	easy	job	talking	does	city	world	also	smart	set	plans	country	small	mean	pick	book	dead	both	taking	kind	notes	made	ad	then	often	needs	network	came	maybe	hill	possible	buy	understand	digital	good	little	place	iphone	hit	james	social	create	enough	he	change	say	woman	house	says	everyone	want	yet	five	probably	president	users	police	game	space	feel	come	know	example	created	united	ll	person	would	recent	meeting	reading	become	hear	another	which	movie	really	control	these	give	actually	user	such	soon	special	cnn	too	late	before	thousands	reasons	source	piece	put	line	well	pretty	week	man	go	quite	gun	seen	lots	white	used	few	found	trump	york	any	vegas	two	night	knew	because	without	post	information	great	blogging	links	today	shows	videos	share	story	why	needed	takes	website	learn	look	based	show	amp	able	ways	money	apple	security	camera	only	other	try	tools	play	hollywood	should	were	death	app	past	large	being	once	side	list	though	else	family	bring	had	posted	sometimes	goes	page	part	life	month	fun	running	finally	full	phone	nbsp	let	several	weekend	october	always	quick	half	tips	call	cars	study	called	things	longer	email	amazon	through	americans	matter	better	event	whether	plan	least	where	ai	government	center	market	already	box	finding	age	facebook	article	haven	whole	via	different	figure	under	stay	media	four	support	political	readers	mdash	guy	process	his	years	products	might	ios	ever	old	order	books	thing	single	companies	along	machine	shot	idea	almost	end	tell	hands	said	talk	team	technology	point	close	having	worst	anything	film	mark	system	asked	sure	service	internet	case	product	number	success	them	text	run	against	sunday	could	thanks	those	appeared	months	problem	data	perhaps	google	far	focus	favorite	o	popular	reason	getting	between	photo	access	others	self	series	going	until	th	hours	own	design	related	off	find	got	view	action	isn	many	she	am	write	office	looking	young	using	sexual	long	monday	co	shooting	hard	think	every	deep	program	makes	latest	nothing	working	states
Little Green Footballs	0	4	1	0	0	1	1	2	4	1	1	1	5	0	1	3	1	2	0	0	2	0	1	2	5	0	0	2	1	6	9	6	2	2	2	2	2	1	0	1	1	0	0	3	4	1	2	6	1	2	2	13	0	1	0	7	4	3	2	1	3	1	1	0	0	7	0	1	1	0	0	0	1	0	0	6	2	1	0	0	5	4	5	2	1	1	0	0	6	3	0	5	1	1	2	0	0	7	0	3	0	4	1	0	0	0	1	0	0	5	2	0	0	1	7	1	0	3	2	3	7	1	1	3	1	6	0	0	1	6	0	0	0	3	3	0	3	0	0	1	2	2	6	3	2	4	0	0	14	2	4	6	1	3	2	0	1	0	6	0	1	1	5	0	0	0	1	1	1	0	2	1	6	1	2	1	0	1	0	5	0	1	5	2	19	5	0	5	0	3	0	2	0	9	0	2	0	2	3	0	1	2	0	1	0	0	0	12	1	0	0	0	3	27	2	5	0	0	0	1	14	2	3	0	0	1	1	2	0	0	0	1	3	1	3	0	5	0	2	4	1	2	1	0	6	0	1	5	1	1	0	1	3	1	16	2	1	1	2	0	2	0	0	1	0	2	0	8	6	0	4	0	2	0	0	0	0	3	1	0	1	0	7	2	6	1	0	1	2	0	0	0	1	3	2	2	1	1	1	0	3	1	2	1	37	0	3	0	6	4	2	3	2	0	2	15	1	0	0	0	2	0	2	1	1	4	3	1	3	1	3	0	0	0	5	7	0	1	1	8	0	3	1	2	1	0	1	0	1	1	0	0	0	0	2	0	6	0	2	3	2	0	5	1	0	17	0	4	1	70	0	3	5	4	3	3	7	0	2	1	4	0	1	10	1	0	0	5	1	0	1	2	1	1	0	12	1	2	1	0	1	4	2	2	3	0	0	3	0	4	4	2	0	2	0	3	3	0	2	2	3	1	0	3	1	0	1	0	1	5	0	2	0	2	4	0	0	0	1	3	11	3	1	2	0	1	0	1	12	1	1	1	1	3	1	1	0	1	1	0	0	2	0	1	2	0	2	0	0	1	9	1	0	0	0	2	0	1	0	7	2	0	2	0	20	1	0	33	2	3	1	0	3	1	2	1	3	1	0	2	1	1	0	1	2	1	0	12	1	1	0	3	0	0	2	1	1	0	0	0	0	1	2	1	0	0	1	9	0	2	1	1	2	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1	1	3	0	2	1	1	7	4	0	0	1	0	0	4	0	4	0	2	1	6	2	1	1	1	4	2	0	2	7	1	4	2	3	2	1	1	2	2	0	2	1	4
Tech Blog	0	0	0	0	0	0	0	4	0	0	0	0	0	0	10	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	2	0	1	0	0	1	0	1	0	0	2	0	0	3	0	2	2	0	0	0	0	0	0	0	0	2	1	0	0	0	6	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	3	0	0	0	0	1	6	0	0	0	0	1	0	1	0	0	0	0	10	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	2	2	2	0	1	0	1	0	0	0	0	0	1	1	0	0	0	3	0	1	0	0	0	0	0	4	0	0	0	6	4	2	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	3	4	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	0	0	1	0	0	0	0	0	1	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PaulStamatiou.com - Technology, Design and Photography	5	0	6	19	6	9	37	10	3	0	0	8	0	29	4	22	18	3	4	10	16	8	3	13	75	0	7	64	1	28	9	1	8	4	0	5	4	0	0	3	6	5	1	9	6	9	3	16	14	47	8	58	25	11	14	15	45	6	6	0	3	36	23	1	8	24	12	7	8	3	14	3	3	3	0	48	18	49	4	0	17	0	28	16	4	10	6	20	55	9	8	20	5	9	22	8	18	76	10	7	9	24	18	8	14	1	3	34	0	2	0	42	1	13	9	8	46	7	25	8	65	39	12	45	25	0	4	0	7	52	14	3	16	18	12	4	96	7	0	13	22	0	52	63	11	27	102	38	65	1	0	10	11	21	4	3	11	26	9	4	4	5	3	14	8	3	0	0	0	4	19	7	9	6	15	4	8	22	6	7	0	9	11	13	0	30	2	1	0	2	6	12	12	7	3	42	18	1	2	2	0	38	21	11	9	4	9	18	4	3	4	5	0	24	16	0	9	47	4	1	25	3	8	11	2	0	10	19	64	6	12	33	15	7	0	8	46	5	4	43	2	7	3	16	26	42	8	18	9	6	5	32	47	16	0	11	2	3	15	8	19	26	16	7	6	24	3	17	82	7	20	2	5	16	3	5	36	0	13	11	5	2	20	8	56	17	12	37	12	3	0	10	7	5	17	31	6	17	22	9	1	2	20	21	19	17	11	1	11	4	9	54	8	1	18	2	20	0	5	6	21	17	27	14	9	5	56	2	116	5	4	44	5	1	32	38	6	21	25	37	13	37	28	17	5	2	0	35	8	31	2	4	12	4	30	27	41	11	21	1	27	15	0	5	14	3	41	64	21	0	3	56	1	35	5	2	9	25	38	2	25	6	1	1	44	14	17	8	25	23	6	69	11	51	7	13	28	26	7	3	3	1	25	117	57	16	12	11	0	36	45	0	50	6	8	21	5	9	14	26	7	3	2	91	0	2	7	42	40	20	22	6	23	5	12	43	6	26	9	1	0	24	8	4	2	20	0	7	14	31	13	9	28	33	0	2	66	4	2	15	9	38	0	0	2	2	21	10	8	4	2	13	3	12	22	8	7	4	3	9	4	22	0	2	76	0	29	18	19	5	24	30	4	21	2	39	22	10	1	24	5	4	9	8	20	13	1	10	5	22	0	21	8	29	1	18	0	2	22	8	20	26	5	15	13	28	3	47	1	37	3	0	52	4	20	2	13	6	40	2	76	5	3	6	12	15	11	32	27	40	18	6	2	4	39	15	0	9	42	83	6	53	31	26	7	5	3	23	0	10	11	7	11	0	57	0	19	0	2	0	18	26	26	3	5	11	4	9	53	6
SpikedHumor - Today's Videos and Pictures	0	1	0	0	0	0	1	0	1	2	3	0	0	4	0	0	0	2	1	2	1	1	1	2	5	3	1	1	0	2	2	0	0	0	14	0	3	0	4	1	1	0	0	1	0	0	0	5	0	3	0	0	1	1	3	0	1	2	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	2	0	1	2	0	2	0	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	1	1	0	0	2	3	1	1	0	1	1	0	0	2	0	0	1	3	4	5	3	0	2	0	1	0	0	3	0	0	0	0	0	1	0	4	2	2	2	0	2	15	3	2	2	2	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	2	2	0	1	0	0	0	2	0	0	2	7	5	0	0	1	0	0	0	1	0	0	0	4	0	0	0	1	1	0	2	0	0	0	0	2	0	0	1	0	0	6	1	0	2	1	0	0	0	102	0	0	0	3	0	1	1	2	0	3	0	0	0	1	0	1	1	5	4	1	1	0	1	2	2	0	1	1	0	0	2	6	0	1	1	0	0	2	0	1	0	0	0	2	2	1	3	0	4	0	0	0	1	0	0	3	0	0	0	0	0	1	2	0	0	1	0	2	2	0	0	1	0	2	1	0	1	0	0	0	0	0	7	1	1	1	2	1	2	1	0	0	2	0	0	0	1	3	3	0	4	0	0	0	0	1	2	0	0	0	0	1	3	0	1	1	0	1	0	1	0	1	0	3	2	2	0	2	0	0	0	0	3	0	0	0	0	4	2	1	2	0	0	1	0	1	2	0	0	2	0	0	1	0	3	0	3	0	1	0	0	0	0	4	1	0	4	0	4	3	0	5	0	5	0	1	0	1	5	2	1	0	2	0	0	3	0	1	0	1	3	0	0	1	2	2	1	0	1	2	0	5	5	0	0	1	7	2	0	0	1	0	2	2	0	2	1	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	2	0	0	2	0	9	2	0	2	0	3	2	1	0	0	1	0	0	0	2	0	0	3	1	0	3	2	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	2	0	0	3	0	0	1	1	0	0	4	0	2	0	2	0	0	0	0	0	0	1	1	0	0	0	0	3	0	1	1	0	0	2	3	2	0	0	0	0	4	0	2	0	0	0	0	2	3	0	0	1	0	0	0	0
We Make Money Not Art	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	3	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Make: DIY Projects and Ideas for Makers	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	20	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	10	2	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0
Eschaton	0	0	0	1	1	0	1	1	3	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	3	0	0	5	1	7	0	0	0	2	0	0	1	0	0	2	0	1	0	0	0	0	0	2	1	4	1	0	0	0	0	0	1	0	0	1	0	1	0	0	4	2	0	0	0	0	0	0	0	2	0	5	0	1	3	2	4	4	2	2	1	0	1	0	1	0	1	0	0	3	0	0	0	1	0	0	3	4	0	0	1	1	1	3	0	0	2	1	4	1	0	1	0	1	0	1	1	0	0	5	0	0	0	0	0	0	0	0	2	1	0	0	2	0	1	0	0	1	2	3	0	0	1	0	1	0	1	0	0	3	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	3	0	2	3	0	2	0	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	2	0	0	0	1	2	0	0	0	0	2	0	1	0	0	3	2	0	2	0	1	0	0	0	0	2	1	0	0	1	0	0	1	0	0	1	1	6	0	0	4	1	8	2	1	0	0	0	0	0	5	1	2	0	0	0	0	1	2	2	0	1	0	1	0	2	2	0	1	0	3	2	1	0	0	0	2	0	1	0	0	4	4	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	7	0	2	2	1	0	0	5	1	3	0	2	0	0	1	0	0	0	2	0	0	0	0	0	5	0	1	0	3	0	1	10	0	1	0	1	4	1	0	1	0	0	0	2	2	2	0	1	0	1	0	0	2	0	0	1	2	2	0	1	1	3	3	1	0	6	1	2	0	0	2	1	3	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	4	0	0	0	5	4	0	0	0	0	1	10	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	1	0	1	0	0	0	0	0	1	3	0	1	1	0	2	3	0	1	0	0	3	0	0	3	0	1	2	3	1	0	2	0	2	1	2	0	0	1	3	4	0	0	0	0	0	1	1	0	0	1	0	0	0	3	0	1	3	0	2	0	0	5	0	0	2	0	1	1	0	0	2	0	3	1	0	0	0	2	0	0	0	3	0	1	0	4	0	0	0	1	0	0	3	1	1	0	1	0	1	0	0	5	2	1	1	1	0	3	1	0	1	0	0	0	0	3	1	0	0	1	0	3	1	0	0	0	1	0	5	1	0	0	0	0	0	0	0	2	0	0	4	2	1	1	0	1	0	0	0	0	3	2	0	0	1	2	0	0	0	0	0	0	2	2
Schneier on Security	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	2	0	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	2	2	0	0	0	0	4	0	0	0	0	2	0	1	0	0	2	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	1	0	0	0	0	0	2	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
Joi Ito's Web	17	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	2	1	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	2	0	1	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	3	1	0	0	0	0	0	0	3	0	0	1	1	0	0	0	0	1	0	0	0	3	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	9	0	2	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	3	4	0	0	0	0	0	0	0	0	0	4	0	0	0	1	1	1	0	0	0	0	0
Blog News	0	0	0	1	0	1	0	0	0	2	0	1	0	2	1	0	0	1	0	1	1	0	0	1	0	0	0	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1	2	0	2	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	5	0	0	0	0	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	1	0	3	1	0	2	0	0	4	1	0	0	0	0	0	0	1	0	3	0	0	0	0	3	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	3	1	0	1	0	0	0	1	0	0	0	0	2	1	0	0	1	5	0	0	0	0	1	0	0	0	0	7	0	0	0	0	0	0	1	3	2	0	0	0	1	0	0	0	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	3	0	0	0	0	4	0	1	1	0	0	1	1	0	0	0	1	0	2	4	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	4	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	2	0	1	1	0	1	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	2	1	1	0	0	0	3	0	0	1	0	1	0	0	2	1	2	0	0	0	0	1	0	0	1	1	3	1	0	0	0	0	1	2	0	0	0	0	0	0	0	2	1	1	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	1	1	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	2	0	1	0	0	1	0	1	2	0	0	1	4	0	1	3	0	0	0	3	1	0	1	0	0	0	0	0	2	0	0	0	0	2	3	0	0	0	0	1	0	1	0	1	0	0	0	3	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	1	3	0	0	0	0	0	2	0	0	4	0	0	0	0	1	0	1	0	3	1	1	2	2	0	0	0	2	0	0	0	0	2	0	2	1	0	1	0	0	0	0	0	1	0	1	1	1	3	0	0	2	0	3	0	0	0	0	0	1	1	0	0	0	0	0	1	2	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	1	0	2	4	0	0	0	0	0	0	2	0	0	0	0	0	3	1	1	1	1	0	0	0	0	2	1	0	0	0	1	4	0	1	0	0	1	0	0
